------------------------------------------------------------
Starting time:  19-Apr-2018   15:50:52
Serial: 0x49467b0c (ID: 0x007b4649)
Current Status: AUX1 AUX3
------------------------------------------------------------
timestamp	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	Status/control	Status 2
------------------------------------------------------------
1524124253.35	113	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124254.36	113	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124255.37	113	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124256.39	113	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124257.35	113	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124258.37	113	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124259.38	113	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124260.35	113	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124261.36	113	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124262.37	113	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124263.39	113	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124264.35	113	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124265.37	113	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124266.38	113	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124267.35	113	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124268.36	113	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124269.37	113	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124270.39	113	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124271.35	113	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124272.37	113	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124273.38	113	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124274.35	113	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124275.36	113	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124276.37	113	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124277.39	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124278.35	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124279.37	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124280.38	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124281.35	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124282.36	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124283.37	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124284.39	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124285.35	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124286.37	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124287.38	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124288.35	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124289.36	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124290.37	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124291.39	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124292.35	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124293.37	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124294.38	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124295.35	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124296.36	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124297.37	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124298.39	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124299.35	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124300.37	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124301.38	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124302.35	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124303.36	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124304.37	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124305.39	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124306.35	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124307.37	112	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124308.38	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124309.35	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124310.36	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124311.37	112	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
